Alabama	795696	0	1255925	9
Alaska	122640	0	164676	3
Arizona	1025232	0	1233654	11
Arkansas	394409	0	647744	6
California	7854285	55	4839958	0
Colorado	1323101	9	1185243	0
Connecticut	905083	7	634892	0
Delaware	242584	3	165484	0
WashingtonDC	267070	3	21381	0
Florida	4237756	29	4163447	0
Georgia	1773827	0	2078688	16
Hawaii	306658	4	121015	0
Idaho	212787	0	420911	4
Illinois	3019512	20	2135216	0
Indiana	1152887	0	1420543	11
Iowa	822544	6	730617	0
Kansas	440726	0	692634	6
Kentucky	679370	0	1087190	8
Louisiana	809141	0	1152262	8
Maine	401306	4	292276	0
Maryland	1677844	10	971869	0
Massachusetts	1921290	11	1188314	0
Michigan	2564569	16	2115256	0
Minnesota	1546167	10	1320225	0
Mississippi	562949	0	710746	6
Missouri	1223796	0	1482440	10
Montana	201839	0	267928	3
Nebraska	302081	0	475064	5
Nevada	531373	6	463567	0
NewHampshire	369561	4	329918	0
NewJersey	2125101	14	1477568	0
NewMexico	415335	5	335788	0
NewYork	4485741	29	2490431	0
NorthCarolina	2178391	0	2270395	15
NorthDakota	124827	0	188163	3
Ohio	2827709	18	2661437	0
Oklahoma	443547	0	891325	7
Oregon	970488	7	754175	0
Pennsylvania	2990274	20	2680434	0
RhodeIsland	279677	4	157204	0
SouthCarolina	865941	0	1071645	9
SouthDakota	145039	0	210610	3
Tennessee	960709	0	1462330	11
Texas	3308124	0	4569843	38
Utah	251813	0	740600	6
Vermont	199239	3	92698	0
Virginia	1971820	13	1822522	0
Washington	1755396	12	1290670	0
WestVirginia	238269	0	417655	5
Wisconsin	1620985	10	1407966	0
Wyoming	69286	0	170962	3
